replication,test,servidor,resultado
replication1,Wait Time Per Entity,Servidor 1,1.6117
replication1,Wait Time Per Entity,Servidor 2,0.5355
replication1,Wait Time Per Entity,Servidor 3,0.6838
replication1,Wait Time Per Entity,Servidor 4,1.5674
replication1,Waiting Time,Servidor 1.Queue,1.0043
replication1,Waiting Time,Servidor 2.Queue,0.1907
replication1,Waiting Time,Servidor 3.Queue,0.08670350
replication1,Waiting Time,Servidor 4.Queue,0.8172
replication1,Number Waiting,Servidor 1.Queue,1.1047
replication1,Number Waiting,Servidor 2.Queue,0.1875
replication1,Number Waiting,Servidor 3.Queue,0.01965279
replication1,Number Waiting,Servidor 4.Queue,0.6229
replication1,Instantaneous Utilization,Resource Server 1,0.6681
replication1,Instantaneous Utilization,Resource Server 2,0.3390
replication1,Instantaneous Utilization,Resource Server 3,0.1353
replication1,Instantaneous Utilization,Resource Server 4,0.5716
replication2,Wait Time Per Entity,Servidor 1,1.6564
replication2,Wait Time Per Entity,Servidor 2,0.7065
replication2,Wait Time Per Entity,Servidor 3,0.6761
replication2,Wait Time Per Entity,Servidor 4,3.4398
replication2,Waiting Time,Servidor 1.Queue,1.1316
replication2,Waiting Time,Servidor 2.Queue,0.3204
replication2,Waiting Time,Servidor 3.Queue,0.06183802
replication2,Waiting Time,Servidor 4.Queue,2.5779
replication2,Number Waiting,Servidor 1.Queue,1.2032
replication2,Number Waiting,Servidor 2.Queue,0.3022
replication2,Number Waiting,Servidor 3.Queue,0.01360436
replication2,Number Waiting,Servidor 4.Queue,1.8647
replication2,Instantaneous Utilization,Resource Server 1,0.5581
replication2,Instantaneous Utilization,Resource Server 2,0.3642
replication2,Instantaneous Utilization,Resource Server 3,0.1351
replication2,Instantaneous Utilization,Resource Server 4,0.6234
replication3,Wait Time Per Entity,Servidor 1,1.5285
replication3,Wait Time Per Entity,Servidor 2,0.5502
replication3,Wait Time Per Entity,Servidor 3,0.7725
replication3,Wait Time Per Entity,Servidor 4,1.4063
replication3,Waiting Time,Servidor 1.Queue,0.9377
replication3,Waiting Time,Servidor 2.Queue,0.1539
replication3,Waiting Time,Servidor 3.Queue,0.1184
replication3,Waiting Time,Servidor 4.Queue,0.6473
replication3,Number Waiting,Servidor 1.Queue,0.9855
replication3,Number Waiting,Servidor 2.Queue,0.1457
replication3,Number Waiting,Servidor 3.Queue,0.02487213
replication3,Number Waiting,Servidor 4.Queue,0.4747
replication3,Instantaneous Utilization,Resource Server 1,0.6177
replication3,Instantaneous Utilization,Resource Server 2,0.3751
replication3,Instantaneous Utilization,Resource Server 3,0.1374
replication3,Instantaneous Utilization,Resource Server 4,0.5520
replication4,Wait Time Per Entity,Servidor 1,1.5947
replication4,Wait Time Per Entity,Servidor 2,0.6192
replication4,Wait Time Per Entity,Servidor 3,0.5178
replication4,Wait Time Per Entity,Servidor 4,2.4399
replication4,Waiting Time,Servidor 1.Queue,1.0271
replication4,Waiting Time,Servidor 2.Queue,0.2285
replication4,Waiting Time,Servidor 3.Queue,0.04184126
replication4,Waiting Time,Servidor 4.Queue,1.6549
replication4,Number Waiting,Servidor 1.Queue,1.2394
replication4,Number Waiting,Servidor 2.Queue,0.2460
replication4,Number Waiting,Servidor 3.Queue,0.01004190
replication4,Number Waiting,Servidor 4.Queue,1.3846
replication4,Instantaneous Utilization,Resource Server 1,0.6849
replication4,Instantaneous Utilization,Resource Server 2,0.4207
replication4,Instantaneous Utilization,Resource Server 3,0.1142
replication4,Instantaneous Utilization,Resource Server 4,0.6567
replication5,Wait Time Per Entity,Servidor 1,1.7358
replication5,Wait Time Per Entity,Servidor 2,0.6649
replication5,Wait Time Per Entity,Servidor 3,0.5153
replication5,Wait Time Per Entity,Servidor 4,2.1582
replication5,Waiting Time,Servidor 1.Queue,1.0941
replication5,Waiting Time,Servidor 2.Queue,0.2689
replication5,Waiting Time,Servidor 3.Queue,0.04532571
replication5,Waiting Time,Servidor 4.Queue,1.3319
replication5,Number Waiting,Servidor 1.Queue,1.1561
replication5,Number Waiting,Servidor 2.Queue,0.2600
replication5,Number Waiting,Servidor 3.Queue,0.00906514
replication5,Number Waiting,Servidor 4.Queue,1.0211
replication5,Instantaneous Utilization,Resource Server 1,0.6780
replication5,Instantaneous Utilization,Resource Server 2,0.3828
replication5,Instantaneous Utilization,Resource Server 3,0.0940
replication5,Instantaneous Utilization,Resource Server 4,0.6335
replication6,Wait Time Per Entity,Servidor 1,2.1344
replication6,Wait Time Per Entity,Servidor 2,0.7540
replication6,Wait Time Per Entity,Servidor 3,0.7312
replication6,Wait Time Per Entity,Servidor 4,2.6620
replication6,Waiting Time,Servidor 1.Queue,1.5539
replication6,Waiting Time,Servidor 2.Queue,0.3374
replication6,Waiting Time,Servidor 3.Queue,0.1227
replication6,Waiting Time,Servidor 4.Queue,1.7746
replication6,Number Waiting,Servidor 1.Queue,1.9540
replication6,Number Waiting,Servidor 2.Queue,0.3700
replication6,Number Waiting,Servidor 3.Queue,0.02495180
replication6,Number Waiting,Servidor 4.Queue,1.5831
replication6,Instantaneous Utilization,Resource Server 1,0.7248
replication6,Instantaneous Utilization,Resource Server 2,0.4570
replication6,Instantaneous Utilization,Resource Server 3,0.1237
replication6,Instantaneous Utilization,Resource Server 4,0.7874
replication7,Wait Time Per Entity,Servidor 1,1.3360
replication7,Wait Time Per Entity,Servidor 2,0.4974
replication7,Wait Time Per Entity,Servidor 3,0.6714
replication7,Wait Time Per Entity,Servidor 4,1.6539
replication7,Waiting Time,Servidor 1.Queue,0.7391
replication7,Waiting Time,Servidor 2.Queue,0.1394
replication7,Waiting Time,Servidor 3.Queue,0
replication7,Waiting Time,Servidor 4.Queue,0.8377
replication7,Number Waiting,Servidor 1.Queue,0.9202
replication7,Number Waiting,Servidor 2.Queue,0.1264
replication7,Number Waiting,Servidor 3.Queue,0
replication7,Number Waiting,Servidor 4.Queue,0.6534
replication7,Instantaneous Utilization,Resource Server 1,0.6243
replication7,Instantaneous Utilization,Resource Server 2,0.3246
replication7,Instantaneous Utilization,Resource Server 3,0.08503876
replication7,Instantaneous Utilization,Resource Server 4,0.6367
replication8,Wait Time Per Entity,Servidor 1,1.2892
replication8,Wait Time Per Entity,Servidor 2,0.6159
replication8,Wait Time Per Entity,Servidor 3,0.6537
replication8,Wait Time Per Entity,Servidor 4,1.9187
replication8,Waiting Time,Servidor 1.Queue,0.7228
replication8,Waiting Time,Servidor 2.Queue,0.2224
replication8,Waiting Time,Servidor 3.Queue,0.08443637
replication8,Waiting Time,Servidor 4.Queue,1.1143
replication8,Number Waiting,Servidor 1.Queue,0.8282
replication8,Number Waiting,Servidor 2.Queue,0.2202
replication8,Number Waiting,Servidor 3.Queue,0.01716873
replication8,Number Waiting,Servidor 4.Queue,0.8736
replication8,Instantaneous Utilization,Resource Server 1,0.6508
replication8,Instantaneous Utilization,Resource Server 2,0.3895
replication8,Instantaneous Utilization,Resource Server 3,0.1157
replication8,Instantaneous Utilization,Resource Server 4,0.6250
replication9,Wait Time Per Entity,Servidor 1,2.2975
replication9,Wait Time Per Entity,Servidor 2,0.6069
replication9,Wait Time Per Entity,Servidor 3,0.6522
replication9,Wait Time Per Entity,Servidor 4,3.7814
replication9,Waiting Time,Servidor 1.Queue,1.6319
replication9,Waiting Time,Servidor 2.Queue,0.2244
replication9,Waiting Time,Servidor 3.Queue,0.0984
replication9,Waiting Time,Servidor 4.Queue,2.9421
replication9,Number Waiting,Servidor 1.Queue,1.9692
replication9,Number Waiting,Servidor 2.Queue,0.2185
replication9,Number Waiting,Servidor 3.Queue,0.01607160
replication9,Number Waiting,Servidor 4.Queue,2.3831
replication9,Instantaneous Utilization,Resource Server 1,0.7689
replication9,Instantaneous Utilization,Resource Server 2,0.3722
replication9,Instantaneous Utilization,Resource Server 3,0.0904
replication9,Instantaneous Utilization,Resource Server 4,0.6798
replication10,Wait Time Per Entity,Servidor 1,1.3011
replication10,Wait Time Per Entity,Servidor 2,0.5926
replication10,Wait Time Per Entity,Servidor 3,0.7369
replication10,Wait Time Per Entity,Servidor 4,1.7624
replication10,Waiting Time,Servidor 1.Queue,0.7163
replication10,Waiting Time,Servidor 2.Queue,0.1918
replication10,Waiting Time,Servidor 3.Queue,0.04175686
replication10,Waiting Time,Servidor 4.Queue,0.9843
replication10,Number Waiting,Servidor 1.Queue,0.8072
replication10,Number Waiting,Servidor 2.Queue,0.1854
replication10,Number Waiting,Servidor 3.Queue,0.00793380
replication10,Number Waiting,Servidor 4.Queue,0.7645
replication10,Instantaneous Utilization,Resource Server 1,0.6430
replication10,Instantaneous Utilization,Resource Server 2,0.3875
replication10,Instantaneous Utilization,Resource Server 3,0.1321
replication10,Instantaneous Utilization,Resource Server 4,0.6043
