replication,test,servidor,resultado
replication8,Wait Time Per Entity,Servidor 4,0.1146
replication8,Waiting Time,Servidor 1.Queue,0.01973669
replication8,Waiting Time,Servidor 2.Queue,0.03408173
replication8,Waiting Time,Servidor 3.Queue,0
replication8,Waiting Time,Servidor 4.Queue,0.01061786
replication8,Number Waiting,Servidor 1.Queue,0.02217088
replication8,Number Waiting,Servidor 2.Queue,0.03385452
replication8,Number Waiting,Servidor 3.Queue,0
replication8,Number Waiting,Servidor 4.Queue,0.00877743
replication8,Instantaneous Utilization,Resource Server 1,0.1188
replication8,Instantaneous Utilization,Resource Server 2,0.1544
replication8,Instantaneous Utilization,Resource Server 3,0.01813394
replication8,Instantaneous Utilization,Resource Server 4,0.08598906
replication9,Wait Time Per Entity,Servidor 1,0.1160
replication9,Wait Time Per Entity,Servidor 2,0.1906
replication9,Wait Time Per Entity,Servidor 3,0.0984
replication9,Wait Time Per Entity,Servidor 4,0.1205
replication9,Waiting Time,Servidor 1.Queue,0.00802172
replication9,Waiting Time,Servidor 2.Queue,0.02788953
replication9,Waiting Time,Servidor 3.Queue,0.00182982
replication9,Waiting Time,Servidor 4.Queue,0.00990756
replication9,Number Waiting,Servidor 1.Queue,0.00887737
replication9,Number Waiting,Servidor 2.Queue,0.02677395
replication9,Number Waiting,Servidor 3.Queue,0.00027447
replication9,Number Waiting,Servidor 4.Queue,0.00802512
replication9,Instantaneous Utilization,Resource Server 1,0.1195
replication9,Instantaneous Utilization,Resource Server 2,0.1562
replication9,Instantaneous Utilization,Resource Server 3,0.01449185
replication9,Instantaneous Utilization,Resource Server 4,0.08956523
replication10,Wait Time Per Entity,Servidor 1,0.1170
replication10,Wait Time Per Entity,Servidor 2,0.2031
replication10,Wait Time Per Entity,Servidor 3,0.1330
replication10,Wait Time Per Entity,Servidor 4,0.0977
replication10,Waiting Time,Servidor 1.Queue,0.01318259
replication10,Waiting Time,Servidor 2.Queue,0.03826782
replication10,Waiting Time,Servidor 3.Queue,0.00532019
replication10,Waiting Time,Servidor 4.Queue,0.00772079
replication10,Number Waiting,Servidor 1.Queue,0.01414931
replication10,Number Waiting,Servidor 2.Queue,0.03788514
replication10,Number Waiting,Servidor 3.Queue,0.00120591
replication10,Number Waiting,Servidor 4.Queue,0.00589353
replication10,Instantaneous Utilization,Resource Server 1,0.1114
replication10,Instantaneous Utilization,Resource Server 2,0.1632
replication10,Instantaneous Utilization,Resource Server 3,0.02893503
replication10,Instantaneous Utilization,Resource Server 4,0.06870300
