replication,test,servidor,resultado
replication7,Waiting Time,Servidor 1.Queue,0.04887895
replication7,Waiting Time,Servidor 2.Queue,0.3052
replication7,Waiting Time,Servidor 3.Queue,0.00454228
replication7,Waiting Time,Servidor 4.Queue,0.05099591
replication7,Number Waiting,Servidor 1.Queue,0.05360392
replication7,Number Waiting,Servidor 2.Queue,0.2993
replication7,Number Waiting,Servidor 3.Queue,0.00093874
replication7,Number Waiting,Servidor 4.Queue,0.03909686
replication7,Instantaneous Utilization,Resource Server 1,0.2047
replication7,Instantaneous Utilization,Resource Server 2,0.3961
replication7,Instantaneous Utilization,Resource Server 3,0.04231103
replication7,Instantaneous Utilization,Resource Server 4,0.1386
replication8,Wait Time Per Entity,Servidor 1,0.2928
replication8,Wait Time Per Entity,Servidor 2,0.8234
replication8,Wait Time Per Entity,Servidor 3,0.2276
replication8,Wait Time Per Entity,Servidor 4,0.2612
replication8,Waiting Time,Servidor 1.Queue,0.08979368
replication8,Waiting Time,Servidor 2.Queue,0.3569
replication8,Waiting Time,Servidor 3.Queue,0.00873681
replication8,Waiting Time,Servidor 4.Queue,0.05155534
replication8,Number Waiting,Servidor 1.Queue,0.1089
replication8,Number Waiting,Servidor 2.Queue,0.3851
replication8,Number Waiting,Servidor 3.Queue,0.00200947
replication8,Number Waiting,Servidor 4.Queue,0.04347834
replication8,Instantaneous Utilization,Resource Server 1,0.2463
replication8,Instantaneous Utilization,Resource Server 2,0.5011
replication8,Instantaneous Utilization,Resource Server 3,0.05011200
replication8,Instantaneous Utilization,Resource Server 4,0.1768
replication9,Wait Time Per Entity,Servidor 1,0.2566
replication9,Wait Time Per Entity,Servidor 2,0.6243
replication9,Wait Time Per Entity,Servidor 3,0.2467
replication9,Wait Time Per Entity,Servidor 4,0.2466
replication9,Waiting Time,Servidor 1.Queue,0.04447335
replication9,Waiting Time,Servidor 2.Queue,0.1976
replication9,Waiting Time,Servidor 3.Queue,0.03192966
replication9,Waiting Time,Servidor 4.Queue,0.03399972
replication9,Number Waiting,Servidor 1.Queue,0.04491809
replication9,Number Waiting,Servidor 2.Queue,0.1792
replication9,Number Waiting,Servidor 3.Queue,0.00510875
replication9,Number Waiting,Servidor 4.Queue,0.02538646
replication9,Instantaneous Utilization,Resource Server 1,0.2142
replication9,Instantaneous Utilization,Resource Server 2,0.3869
replication9,Instantaneous Utilization,Resource Server 3,0.03435548
replication9,Instantaneous Utilization,Resource Server 4,0.1588
replication10,Wait Time Per Entity,Servidor 1,0.3311
replication10,Wait Time Per Entity,Servidor 2,0.5238
replication10,Wait Time Per Entity,Servidor 3,0.3081
replication10,Wait Time Per Entity,Servidor 4,0.2128
replication10,Waiting Time,Servidor 1.Queue,0.1087
replication10,Waiting Time,Servidor 2.Queue,0.1350
replication10,Waiting Time,Servidor 3.Queue,0.00997474
replication10,Waiting Time,Servidor 4.Queue,0.02493499
replication10,Number Waiting,Servidor 1.Queue,0.1287
replication10,Number Waiting,Servidor 2.Queue,0.1426
replication10,Number Waiting,Servidor 3.Queue,0.00216119
replication10,Number Waiting,Servidor 4.Queue,0.02094539
replication10,Instantaneous Utilization,Resource Server 1,0.2632
replication10,Instantaneous Utilization,Resource Server 2,0.4109
replication10,Instantaneous Utilization,Resource Server 3,0.06458417
replication10,Instantaneous Utilization,Resource Server 4,0.1578
