cenario,replication,test,servidor,resultado
cenario3,replication7,Number Waiting,Servidor 4.Queue,0.6534
cenario3,replication7,Instantaneous Utilization,Resource Server 1,0.6243
cenario3,replication7,Instantaneous Utilization,Resource Server 2,0.3246
cenario3,replication7,Instantaneous Utilization,Resource Server 3,0.08503876
cenario3,replication7,Instantaneous Utilization,Resource Server 4,0.6367
cenario3,replication8,Wait Time Per Entity,Servidor 1,1.2892
cenario3,replication8,Wait Time Per Entity,Servidor 2,0.6159
cenario3,replication8,Wait Time Per Entity,Servidor 3,0.6537
cenario3,replication8,Wait Time Per Entity,Servidor 4,1.9187
cenario3,replication8,Waiting Time,Servidor 1.Queue,0.7228
cenario3,replication8,Waiting Time,Servidor 2.Queue,0.2224
cenario3,replication8,Waiting Time,Servidor 3.Queue,0.08443637
cenario3,replication8,Waiting Time,Servidor 4.Queue,1.1143
cenario3,replication8,Number Waiting,Servidor 1.Queue,0.8282
cenario3,replication8,Number Waiting,Servidor 2.Queue,0.2202
cenario3,replication8,Number Waiting,Servidor 3.Queue,0.01716873
cenario3,replication8,Number Waiting,Servidor 4.Queue,0.8736
cenario3,replication8,Instantaneous Utilization,Resource Server 1,0.6508
cenario3,replication8,Instantaneous Utilization,Resource Server 2,0.3895
cenario3,replication8,Instantaneous Utilization,Resource Server 3,0.1157
cenario3,replication8,Instantaneous Utilization,Resource Server 4,0.6250
cenario3,replication9,Wait Time Per Entity,Servidor 1,2.2975
cenario3,replication9,Wait Time Per Entity,Servidor 2,0.6069
cenario3,replication9,Wait Time Per Entity,Servidor 3,0.6522
cenario3,replication9,Wait Time Per Entity,Servidor 4,3.7814
cenario3,replication9,Waiting Time,Servidor 1.Queue,1.6319
cenario3,replication9,Waiting Time,Servidor 2.Queue,0.2244
cenario3,replication9,Waiting Time,Servidor 3.Queue,0.0984
cenario3,replication9,Waiting Time,Servidor 4.Queue,2.9421
cenario3,replication9,Number Waiting,Servidor 1.Queue,1.9692
cenario3,replication9,Number Waiting,Servidor 2.Queue,0.2185
cenario3,replication9,Number Waiting,Servidor 3.Queue,0.01607160
cenario3,replication9,Number Waiting,Servidor 4.Queue,2.3831
cenario3,replication9,Instantaneous Utilization,Resource Server 1,0.7689
cenario3,replication9,Instantaneous Utilization,Resource Server 2,0.3722
cenario3,replication9,Instantaneous Utilization,Resource Server 3,0.0904
cenario3,replication9,Instantaneous Utilization,Resource Server 4,0.6798
cenario3,replication10,Wait Time Per Entity,Servidor 1,1.3011
cenario3,replication10,Wait Time Per Entity,Servidor 2,0.5926
cenario3,replication10,Wait Time Per Entity,Servidor 3,0.7369
cenario3,replication10,Wait Time Per Entity,Servidor 4,1.7624
cenario3,replication10,Waiting Time,Servidor 1.Queue,0.7163
cenario3,replication10,Waiting Time,Servidor 2.Queue,0.1918
cenario3,replication10,Waiting Time,Servidor 3.Queue,0.04175686
cenario3,replication10,Waiting Time,Servidor 4.Queue,0.9843
cenario3,replication10,Number Waiting,Servidor 1.Queue,0.8072
cenario3,replication10,Number Waiting,Servidor 2.Queue,0.1854
cenario3,replication10,Number Waiting,Servidor 3.Queue,0.00793380
cenario3,replication10,Number Waiting,Servidor 4.Queue,0.7645
cenario3,replication10,Instantaneous Utilization,Resource Server 1,0.6430
cenario3,replication10,Instantaneous Utilization,Resource Server 2,0.3875
cenario3,replication10,Instantaneous Utilization,Resource Server 3,0.1321
cenario3,replication10,Instantaneous Utilization,Resource Server 4,0.6043
