cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id,tempo_bd,tempo_rede
1.226396728,1.226402573,4250931200,4250931200,1471542302029,1471542302031,1471542177517,1471542177604,cadastro,cadastro 43,2,85
1.226405773,1.226405773,4250931200,4250931200,1471542302077,1471542302079,1471542177567,1471542177652,cadastro,cadastro 44,2,83
1.226409046,1.226408899,4250931200,4250931200,1471542302129,1471542302131,1471542177617,1471542177704,cadastro,cadastro 45,2,85
1.226412172,1.226412098,4250931200,4251312128,1471542302177,1471542302180,1471542177667,1471542177752,cadastro,cadastro 46,3,82
1.226415371,1.226415371,4252835840,4252835840,1471542302229,1471542302231,1471542177717,1471542177804,cadastro,cadastro 47,2,85
1.226412579,1.226418497,4252835840,4252835840,1471542302277,1471542302279,1471542177768,1471542177852,cadastro,cadastro 48,2,82
1.226415999,1.226415778,4252835840,4252835840,1471542302325,1471542302327,1471542177816,1471542177904,cadastro,cadastro 49,2,86
1.226424896,1.226424676,4253216768,4253216768,1471542302381,1471542302383,1471542177867,1471542177956,cadastro,cadastro 50,2,87
1.226434087,1.226433867,4253216768,4253597696,1471542302428,1471542302430,1471542177916,1471542178004,cadastro,cadastro 51,2,86
1.226431074,1.226431001,4253597696,4253597696,1471542302477,1471542302479,1471542177967,1471542178052,cadastro,cadastro 52,2,83
1.226434494,1.226434274,4253597696,4253978624,1471542302529,1471542302532,1471542178017,1471542178104,cadastro,cadastro 53,3,84
1.226437473,1.226437326,4253978624,4253978624,1471542302577,1471542302579,1471542178066,1471542178152,cadastro,cadastro 54,2,84
1.226446591,1.226452436,4253978624,4253978624,1471542302629,1471542302631,1471542178117,1471542178204,cadastro,cadastro 55,2,85
1.226449864,1.226449717,4253978624,4253978624,1471542302677,1471542302679,1471542178166,1471542178252,cadastro,cadastro 56,2,84
1.226452842,1.226452695,4254359552,4254359552,1471542302729,1471542302731,1471542178217,1471542178304,cadastro,cadastro 57,2,85
1.226456189,1.226456189,4254740480,4254740480,1471542302777,1471542302779,1471542178267,1471542178353,cadastro,cadastro 58,2,84
1.226453249,1.226459167,4254740480,4255121408,1471542302829,1471542302831,1471542178318,1471542178404,cadastro,cadastro 59,2,84
1.226462293,1.22646222,4255502336,4255502336,1471542302878,1471542302880,1471542178366,1471542178452,cadastro,cadastro 60,2,84
1.22646586,1.226471631,4255485952,4255612928,1471542302925,1471542302927,1471542178416,1471542178500,cadastro,cadastro 61,2,82
1.226474683,1.226474536,4255596544,4255596544,1471542302978,1471542302980,1471542178467,1471542178552,cadastro,cadastro 62,2,83
1.226477736,1.22648358,4255596544,4255596544,1471542303029,1471542303031,1471542178518,1471542178604,cadastro,cadastro 63,2,84
1.226481008,1.226481008,4255596544,4255596544,1471542303077,1471542303079,1471542178566,1471542178652,cadastro,cadastro 64,2,84
1.226478069,1.226478069,4255596544,4255596544,1471542303129,1471542303132,1471542178617,1471542178704,cadastro,cadastro 65,3,84
1.226481415,1.226481341,4255596544,4255596544,1471542303177,1471542303179,1471542178667,1471542178756,cadastro,cadastro 66,2,87
1.226484541,1.226490385,4255977472,4255977472,1471542303229,1471542303231,1471542178717,1471542178808,cadastro,cadastro 67,2,89
1.226493584,1.226493584,4255977472,4255977472,1471542303280,1471542303282,1471542178766,1471542178856,cadastro,cadastro 68,2,88
1.226490792,1.226490718,4255977472,4255977472,1471542303333,1471542303335,1471542178817,1471542178908,cadastro,cadastro 69,2,89
1.226499983,1.226499983,4255977472,4255977472,1471542303379,1471542303381,1471542178866,1471542178956,cadastro,cadastro 70,2,88
1.22650932,1.226515165,4255977472,4255977472,1471542303429,1471542303431,1471542178917,1471542179004,cadastro,cadastro 71,2,85
1.226524502,1.226536265,4255977472,4255977472,1471542303477,1471542303479,1471542178966,1471542179052,cadastro,cadastro 72,2,84
1.226539243,1.226539097,4255977472,4260298752,1471542303529,1471542303533,1471542179017,1471542179104,cadastro,cadastro 73,4,83
1.226542442,1.226542442,4260298752,4260298752,1471542303581,1471542303583,1471542179068,1471542179156,cadastro,cadastro 74,2,86
1.226539797,1.226539723,4260298752,4260298752,1471542303628,1471542303629,1471542179116,1471542179204,cadastro,cadastro 75,1,87
1.226536931,1.226536857,4260298752,4260298752,1471542303677,1471542303679,1471542179168,1471542179252,cadastro,cadastro 76,2,82
1.22654013,1.226551819,4260298752,4260298752,1471542303729,1471542303731,1471542179217,1471542179304,cadastro,cadastro 77,2,85
1.22654932,1.226549026,4260298752,4260298752,1471542303777,1471542303779,1471542179267,1471542179352,cadastro,cadastro 78,2,83
1.226552372,1.22655829,4260298752,4260298752,1471542303829,1471542303831,1471542179317,1471542179404,cadastro,cadastro 79,2,85
1.226561415,1.226561415,4260298752,4260298752,1471542303877,1471542303879,1471542179367,1471542179452,cadastro,cadastro 80,2,83
1.226564394,1.226564394,4260298752,4260298752,1471542303929,1471542303931,1471542179416,1471542179504,cadastro,cadastro 81,2,86
1.22656774,1.226567666,4260171776,4260171776,1471542303977,1471542303979,1471542179467,1471542179556,cadastro,cadastro 82,2,87
1.226564727,1.226582407,4260298752,4260298752,1471542304029,1471542304031,1471542179517,1471542179604,cadastro,cadastro 83,2,85
