cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id,tempo_bd,tempo_rede
1.250112558,1.250112207,4295606272,4295606272,1471543749064,1471543749074,1471543624601,1471543624657,cadastro,cadastro 0,10,46
1.250106456,1.250111926,4295606272,4295606272,1471543749283,1471543749285,1471543624818,1471543624869,cadastro,cadastro 1,2,49
1.250113608,1.250113538,4295606272,4295606272,1471543749460,1471543749462,1471543625000,1471543625044,cadastro,cadastro 2,2,42
1.250108488,1.250113747,4295606272,4295606272,1471543749659,1471543749661,1471543625199,1471543625244,cadastro,cadastro 3,2,43
1.250114097,1.250119426,4295720960,4295720960,1471543749861,1471543749863,1471543625401,1471543625448,cadastro,cadastro 4,2,45
1.250119776,1.250119636,4295606272,4295606272,1471543750060,1471543750062,1471543625601,1471543625648,cadastro,cadastro 5,2,45
1.250109046,1.250108905,4295606272,4295606272,1471543750260,1471543750262,1471543625800,1471543625843,cadastro,cadastro 6,2,41
1.250114865,1.250114795,4295606272,4295606272,1471543750459,1471543750462,1471543626000,1471543626044,cadastro,cadastro 7,3,41
1.250103784,1.250103714,4295606272,4295606272,1471543750660,1471543750662,1471543626200,1471543626244,cadastro,cadastro 8,2,42
1.250093125,1.250092914,4295606272,4295606272,1471543750860,1471543750862,1471543626399,1471543626444,cadastro,cadastro 9,2,43
1.250093334,1.250093194,4295606272,4295606272,1471543751060,1471543751062,1471543626600,1471543626644,cadastro,cadastro 10,2,42
1.250087934,1.250093404,4295606272,4295606272,1471543751260,1471543751263,1471543626800,1471543626848,cadastro,cadastro 11,3,45
1.250088424,1.250088144,4295606272,4295606272,1471543751461,1471543751464,1471543627001,1471543627048,cadastro,cadastro 12,3,44
1.250077625,1.250077414,4295606272,4295606272,1471543751660,1471543751662,1471543627200,1471543627244,cadastro,cadastro 13,2,42
1.250072154,1.250072014,4295606272,4295606272,1471543751860,1471543751862,1471543627400,1471543627444,cadastro,cadastro 14,2,42
1.250066684,1.250071803,4296081408,4273090560,1471543752060,1471543752069,1471543627600,1471543627669,cadastro,cadastro 15,9,60
1.250061355,1.250061355,4273090560,4273090560,1471543752260,1471543752262,1471543627800,1471543627844,cadastro,cadastro 16,2,42
1.250056095,1.250056025,4273090560,4273090560,1471543752460,1471543752462,1471543627999,1471543628048,cadastro,cadastro 17,2,47
1.250050836,1.250050696,4273090560,4273090560,1471543752660,1471543752662,1471543628200,1471543628244,cadastro,cadastro 18,2,42
1.250050976,1.250050835,4273090560,4273090560,1471543752859,1471543752861,1471543628400,1471543628444,cadastro,cadastro 19,2,42
1.250039897,1.250039897,4273205248,4273205248,1471543753060,1471543753062,1471543628600,1471543628644,cadastro,cadastro 20,2,42
1.250045786,1.250045646,4273205248,4273205248,1471543753260,1471543753262,1471543628800,1471543628844,cadastro,cadastro 21,2,42
1.250040597,1.250040457,4273205248,4273205248,1471543753460,1471543753462,1471543629000,1471543629044,cadastro,cadastro 22,2,42
1.250029659,1.250029519,4273459200,4273459200,1471543753659,1471543753661,1471543629199,1471543629258,cadastro,cadastro 23,2,57
1.250029939,1.250029799,4273258496,4273258496,1471543753859,1471543753861,1471543629399,1471543629451,cadastro,cadastro 24,2,50
1.250041227,1.250040877,4273459200,4268023808,1471543754060,1471543754066,1471543629600,1471543629652,cadastro,cadastro 25,6,46
1.250047046,1.250046976,4268023808,4268023808,1471543754260,1471543754262,1471543629800,1471543629871,cadastro,cadastro 26,2,69
1.250041437,1.250041437,4268023808,4268023808,1471543754462,1471543754464,1471543630002,1471543630048,cadastro,cadastro 27,2,44
1.250041857,1.250041787,4267020288,4267020288,1471543754660,1471543754662,1471543630200,1471543630286,cadastro,cadastro 28,2,84
1.250036598,1.250036458,4267311104,4267311104,1471543754860,1471543754862,1471543630400,1471543630448,cadastro,cadastro 29,2,46
1.250042347,1.250042277,4267552768,4267552768,1471543755060,1471543755062,1471543630600,1471543630644,cadastro,cadastro 30,2,42
1.250037088,1.250037018,4267806720,4267261952,1471543755259,1471543755262,1471543630799,1471543630844,cadastro,cadastro 31,3,42
1.250037439,1.250037298,4265652224,4265906176,1471543755459,1471543755461,1471543631000,1471543631044,cadastro,cadastro 32,2,42
1.25003183,1.25003183,4265906176,4266160128,1471543755661,1471543755663,1471543631200,1471543631248,cadastro,cadastro 33,2,46
1.250026641,1.250026501,4266160128,4265627648,1471543755860,1471543755863,1471543631400,1471543631448,cadastro,cadastro 34,3,45
1.250026781,1.250026711,4265648128,4265648128,1471543756060,1471543756063,1471543631600,1471543631648,cadastro,cadastro 35,3,45
1.250026781,1.250026711,4265648128,4265648128,1471543756261,1471543756263,1471543631801,1471543631848,cadastro,cadastro 36,2,45
1.250021733,1.250021312,4265648128,4265648128,1471543756460,1471543756463,1471543632000,1471543632048,cadastro,cadastro 37,3,45
1.250015914,1.250021382,4265828352,4265828352,1471543756667,1471543756669,1471543632200,1471543632252,cadastro,cadastro 38,2,50
1.250022013,1.250021943,4266209280,4266209280,1471543756860,1471543756863,1471543632400,1471543632448,cadastro,cadastro 39,3,45
1.250016615,1.250016545,4266283008,4266283008,1471543757059,1471543757061,1471543632599,1471543632644,cadastro,cadastro 40,2,43
1.250016895,1.250016685,4266553344,4266151936,1471543757260,1471543757262,1471543632800,1471543632844,cadastro,cadastro 41,2,42
1.250022573,1.250022433,4266151936,4266151936,1471543757460,1471543757462,1471543633001,1471543633044,cadastro,cadastro 42,2,41
1.250017315,1.250017245,4266422272,4266422272,1471543757660,1471543757662,1471543633200,1471543633244,cadastro,cadastro 43,2,42
1.250006449,1.250006239,4266422272,4266803200,1471543757860,1471543757862,1471543633401,1471543633448,cadastro,cadastro 44,2,45
1.250001052,1.250000771,4266790912,4266790912,1471543758060,1471543758063,1471543633600,1471543633648,cadastro,cadastro 45,3,45
1.250001332,1.250001122,4267171840,4267171840,1471543758260,1471543758262,1471543633800,1471543633844,cadastro,cadastro 46,2,42
1.25000701,1.25000694,4267171840,4267171840,1471543758460,1471543758462,1471543634000,1471543634044,cadastro,cadastro 47,2,42
1.249996074,1.249996004,4267171840,4267171840,1471543758660,1471543758662,1471543634200,1471543634248,cadastro,cadastro 48,2,46
1.249990747,1.249990607,4267171840,4267171840,1471543758860,1471543758862,1471543634400,1471543634444,cadastro,cadastro 49,2,42
1.250001963,1.250001893,4267171840,4267171840,1471543759060,1471543759062,1471543634600,1471543634644,cadastro,cadastro 50,2,42
1.249991168,1.249990887,4267171840,4267171840,1471543759260,1471543759263,1471543634800,1471543634848,cadastro,cadastro 51,3,45
1.249980162,1.249980022,4267171840,4267171840,1471543759460,1471543759462,1471543635000,1471543635044,cadastro,cadastro 52,2,42
1.249969438,1.249974905,4267171840,4267171840,1471543759659,1471543759661,1471543635199,1471543635244,cadastro,cadastro 53,2,43
