cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id
1.2263812113149442,1.226387056337913,4250742784,4250742784,1471542301882,1471542301884,1471542177373,1471542177456,CADASTRO,Cadastro 40
1.22639040286235,1.2263962478708947,4250996736,4250996736,1471542301929,1471542301931,1471542177417,1471542177504,CADASTRO,Cadastro 41
1.2263936024021547,1.2263936024021547,4250931200,4250931200,1471542301980,1471542301982,1471542177467,1471542177556,CADASTRO,Cadastro 42
1.226396728442296,1.2264025734231154,4250931200,4250931200,1471542302029,1471542302031,1471542177517,1471542177604,CADASTRO,Cadastro 43
1.2264057729200744,1.2264057729200744,4250931200,4250931200,1471542302077,1471542302079,1471542177567,1471542177652,CADASTRO,Cadastro 44
1.226409045887948,1.2264088989169721,4250931200,4250931200,1471542302129,1471542302131,1471542177617,1471542177704,CADASTRO,Cadastro 45
1.2264121718702654,1.2264120983847562,4250931200,4251312128,1471542302177,1471542302180,1471542177667,1471542177752,CADASTRO,Cadastro 46
1.2264153713235117,1.2264153713235117,4252835840,4252835840,1471542302229,1471542302231,1471542177717,1471542177804,CADASTRO,Cadastro 47
1.2264125788793905,1.2264184972766259,4252835840,4252835840,1471542302277,1471542302279,1471542177768,1471542177852,CADASTRO,Cadastro 48
1.2264159987728647,1.2264157783171328,4252835840,4252835840,1471542302325,1471542302327,1471542177816,1471542177904,CADASTRO,Cadastro 49
1.2264248961102169,1.2264246756534476,4253216768,4253216768,1471542302381,1471542302383,1471542177867,1471542177956,CADASTRO,Cadastro 50
1.226434087346675,1.2264338668887547,4253216768,4253597696,1471542302428,1471542302430,1471542177916,1471542178004,CADASTRO,Cadastro 51
1.2264310744286178,1.2264310009429948,4253597696,4253597696,1471542302477,1471542302479,1471542177967,1471542178052,CADASTRO,Cadastro 52
1.226434494251336,1.2264342737943394,4253597696,4253978624,1471542302529,1471542302532,1471542178017,1471542178104,CADASTRO,Cadastro 53
1.2264374731455092,1.226437326174178,4253978624,4253978624,1471542302577,1471542302579,1471542178066,1471542178152,CADASTRO,Cadastro 54
1.2264465907819044,1.2264524355946094,4253978624,4253978624,1471542302629,1471542302631,1471542178117,1471542178204,CADASTRO,Cadastro 55
1.2264498635763346,1.2264497166041934,4253978624,4253978624,1471542302677,1471542302679,1471542178166,1471542178252,CADASTRO,Cadastro 56
1.2264528424118595,1.2264526954397184,4254359552,4254359552,1471542302729,1471542302731,1471542178217,1471542178304,CADASTRO,Cadastro 57
1.2264561886632634,1.2264561886632634,4254740480,4254740480,1471542302777,1471542302779,1471542178267,1471542178353,CADASTRO,Cadastro 58
1.2264532492254148,1.226459167469514,4254740480,4255121408,1471542302829,1471542302831,1471542178318,1471542178404,CADASTRO,Cadastro 59
1.2264622932333822,1.2264622197472477,4255502336,4255502336,1471542302878,1471542302880,1471542178366,1471542178452,CADASTRO,Cadastro 60
1.2264658598997045,1.2264716311440509,4255485952,4255612928,1471542302925,1471542302927,1471542178416,1471542178500,CADASTRO,Cadastro 61
1.2264746833781999,1.226474536405135,4255596544,4255596544,1471542302978,1471542302980,1471542178467,1471542178552,CADASTRO,Cadastro 62
1.2264777355977259,1.2264835802981366,4255596544,4255596544,1471542303029,1471542303031,1471542178518,1471542178604,CADASTRO,Cadastro 63
1.2264810082623256,1.2264810082623256,4255596544,4255596544,1471542303077,1471542303079,1471542178566,1471542178652,CADASTRO,Cadastro 64
1.2264780688060313,1.2264780688060313,4255596544,4255596544,1471542303129,1471542303132,1471542178617,1471542178704,CADASTRO,Cadastro 65
1.2264814149410626,1.226481341454786,4255596544,4255596544,1471542303177,1471542303179,1471542178667,1471542178756,CADASTRO,Cadastro 66
1.2264845406027547,1.2264903852491074,4255977472,4255977472,1471542303229,1471542303231,1471542178717,1471542178808,CADASTRO,Cadastro 67
1.2264935843688107,1.2264935843688107,4255977472,4255977472,1471542303280,1471542303282,1471542178766,1471542178856,CADASTRO,Cadastro 68
1.2264907918822985,1.2264907183959934,4255977472,4255977472,1471542303333,1471542303335,1471542178817,1471542178908,CADASTRO,Cadastro 69
1.2264999825645049,1.2264999825645049,4255977472,4255977472,1471542303379,1471542303381,1471542178866,1471542178956,CADASTRO,Cadastro 70
1.2265093201790478,1.226515164769225,4255977472,4255977472,1471542303429,1471542303431,1471542178917,1471542179004,CADASTRO,Cadastro 71
1.2265245023297524,1.2265362649669669,4255977472,4255977472,1471542303477,1471542303479,1471542178966,1471542179052,CADASTRO,Cadastro 72
1.226539243479948,1.22653909650289,4255977472,4260298752,1471542303529,1471542303533,1471542179017,1471542179104,CADASTRO,Cadastro 73
